Nombre,Nacionalidad,Clubes
Lionel Messi,Argentina,Newell's Old Boys;Barcelona;PSG;Inter Miami
Cristiano Ronaldo,Portugal,Sporting CP;Manchester United;Real Madrid;Juventus;Al Nassr
Diego Maradona,Argentina,Argentinos Juniors;Boca Juniors;Barcelona;Napoli;Sevilla
Pele,Brasil,Santos;New York Cosmos
Zinedine Zidane,Francia,Cannes;Bordeaux;Juventus;Real Madrid
Ronaldinho,Brasil,Grêmio;PSG;Barcelona;Milan
Neymar Jr,Brasil,Santos;Barcelona;PSG;Al Hilal
Kylian Mbappe,Francia,Monaco;PSG;Real Madrid
Erling Haaland,Noruega,Bryne;Molde;RB Salzburg;Borussia Dortmund;Manchester City
Robert Lewandowski,Polonia,Znicz Pruszkow;Lech Poznań;Borussia Dortmund;Bayern Munich;Barcelona
Karim Benzema,Francia,Lyon;Real Madrid;Al-Ittihad
Luka Modrić,Croacia,Dinamo Zagreb;Tottenham;Real Madrid
Andres Iniesta,España,Barcelona;Vissel Kobe
Xavi Hernandez,España,Barcelona;Al Sadd
Iker Casillas,España,Real Madrid;Porto
Gianluigi Buffon,Italia,Parma;Juventus;PSG
Paolo Maldini,Italia,Milan
Francesco Totti,Italia,Roma
David Beckham,Inglaterra,Manchester United;Real Madrid;LA Galaxy;Milan;PSG
Wayne Rooney,Inglaterra,Everton;Manchester United;DC United;Derby County
Thierry Henry,Francia,Monaco;Juventus;Arsenal;Barcelona;New York Red Bulls
Didier Drogba,Costa de Marfil,Le Mans;Guingamp;Marseille;Chelsea;Shanghai Shenhua;Galatasaray
Samuel Etoo,Camerun,Real Madrid;Mallorca;Barcelona;Inter Milan;Chelsea
Mohamed Salah,Egipto,El Mokawloon;Basel;Chelsea;Fiorentina;Roma;Liverpool
Sadio Mane,Senegal,Metz;RB Salzburg;Southampton;Liverpool;Bayern Munich;Al Nassr
Antoine Griezmann,Francia,Real Sociedad;Atletico Madrid;Barcelona
Gerard Pique,España,Manchester United;Barcelona
Sergio Ramos,España,Sevilla;Real Madrid;PSG;Sevilla
Rivaldo,Brasil,Palmeiras;Deportivo La Coruña;Barcelona;Milan;Olympiakos
Romario,Brasil,PSV;Barcelona;Flamengo;Valencia
Johan Cruyff,Paises Bajos,Ajax;Barcelona;Feyenoord
Marco van Basten,Paises Bajos,Ajax;Milan
Ruud Gullit,Paises Bajos,Feyenoord;PSV;Milan;Chelsea
Andriy Shevchenko,Ucrania,Dinamo Kyiv;Milan;Chelsea
Luis Suarez,Uruguay,Nacional;Groningen;Ajax;Liverpool;Barcelona;Atletico Madrid
Edinson Cavani,Uruguay,Danubio;Palermo;Napoli;PSG;Manchester United;Valencia;Boca Juniors
James Rodriguez,Colombia,Envigado;Porto;Monaco;Real Madrid;Bayern Munich;Everton;São Paulo
Radamel Falcao,Colombia,River Plate;Porto;Atletico Madrid;Monaco;Manchester United;Chelsea;Rayo Vallecano
Arturo Vidal,Chile,Colo Colo;Bayer Leverkusen;Juventus;Bayern Munich;Barcelona;Inter Milan;Flamengo
Alexis Sanchez,Chile,Cobreloa;Udinese;Barcelona;Arsenal;Manchester United;Inter Milan;Marsella
Zlatan Ibrahimovic,Suecia,Malmö;Ajax;Juventus;Inter Milan;Barcelona;Milan;PSG;Manchester United;LA Galaxy;Milan
Andrea Pirlo,Italia,Brescia;Inter Milan;Reggina;Milan;Juventus;New York City FC
Gennaro Gattuso,Italia,Perugia;Salernitana;Milan
Roberto Baggio,Italia,Vicenza;Fiorentina;Juventus;Milan;Bologna;Inter;Brescia
Claudio Marchisio,Italia,Juventus;Zenit
Alessandro Del Piero,Italia,Juventus;Sydney FC;Delhi Dynamos
Clarence Seedorf,Paises Bajos,Ajax;Sampdoria;Real Madrid;Inter Milan;Milan
Frank Lampard,Inglaterra,West Ham;Chelsea;Manchester City;New York City FC
Steven Gerrard,Inglaterra,Liverpool;LA Galaxy
Paul Scholes,Inglaterra,Manchester United
Petr Cech,Republica Checa,Chmel Blsany;Rennes;Chelsea;Arsenal
Philipp Lahm,Alemania,Bayern Munich;Stuttgart
Bastian Schweinsteiger,Alemania,Bayern Munich;Manchester United;Chicago Fire
Miroslav Klose,Alemania,Kaiserslautern;Werder Bremen;Bayern Munich;Lazio
Mesut Ozil,Alemania,Schalke 04;Werder Bremen;Real Madrid;Arsenal;Fenerbahçe
Toni Kroos,Alemania,Bayern Munich;Bayer Leverkusen;Real Madrid
Manuel Neuer,Alemania,Schalke 04;Bayern Munich
Thomas Muller,Alemania,Bayern Munich
Arjen Robben,Paises Bajos,Groningen;PSV;Chelsea;Real Madrid;Bayern Munich;Groningen
